Episode Number,Pitch Number,Brand,Idea,Category,City,state,Investment Amount,Investment Amount(lakhs),Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Total investers,Investment per head,Equity per head,Valuation,,longitude,latitude,,city,lat,lng
17,52,Outbox,Premium Surprise-Planning,gifts and decor,Kolkata,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,22.5411,88.3378,,Coimbatore,11,76.9667
17,53,RoadBounce,Pothole Detection Software and Data,SAAS,Pune,Maharashtra,80,8000000,0,20.00%,0,0,0,0,1,0,0,1,8000000,20%,"4,00,00,000",,18.5196,73.8553,,Dispur,26.15,91.77
18,54,Mommy's Kitchen,Thin Crust Pizza,Food and beverages,mumbai,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.9667,72.8333,,Guwahati,26.1667,91.7667
18,55,India Hemp and Co,Hemp Food Products,Food and beverages,Bangalore,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,12.9699,77.598,,Solapur,17.6833,75.9167
18,56,Otua,Electric Auto Vehicle,Automotive,Gurgaon,Haryana,1,100000,99,1.00%,0,1,0,0,0,0,0,1,100000,1%,"1,00,00,000",,28.45,77.02,,Trichinopoly,10.8269,78.6928
18,57,Anthyesti,Funeral Service,,Bangalore,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,12.9699,77.598,,Hubli,15.36,75.125
19,58,Ethik,Leather-free Shoes,Shoes,Bangalore,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,12.9699,77.598,,Jalandhar,31.3256,75.5792
19,59,Brainwired,Livestock health monitoring AI,Healthcare,Koci,Kerala,60,6000000,0,10.00%,0,1,1,1,1,0,0,4,1500000,3%,"6,00,00,000",,#N/A,#N/A,,Bhubaneshwar,20.2644,85.8281
19,60,KetoIndia,Customised Keto Diets for various medical issues,Healthcare,Pitampura,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,#N/A,#N/A,,Bhayandar,19.3,72.85
19,61,Magic lock,LPG Cylinder lock,safety,Mumbai,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.9667,72.8333,,Moradabad,28.8418,78.7568
20,62,The State Plate,Delicacies,Food and beverages,Bangalore,Karnataka,40,4000000,25,3.00%,0,0,0,0,1,0,0,1,4000000,3%,"13,33,33,333",,12.9699,77.598,,Kolhapur,16.7,74.2333
20,63,Bakarmax,Comics & Animation,entertaiment,Mumbai,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.9667,72.8333,,Thiruvananthapuram,8.5,76.8997
20,64,IN A CAN,Can Cocktails,Food and beverages,Pune,Maharashtra,10,1000000,0,10.00%,1,1,1,1,1,0,0,5,200000,2%,"1,00,00,000",,18.5196,73.8553,,Saharanpur,29.964,77.546
21,65,Get a Whey,Sugar-Free Icecream,Food and beverages,Pune,Maharashtra,10,1000000,0,15.00%,0,1,0,1,0,1,0,3,333333.3333,5%,"66,66,667",,18.5196,73.8553,,Warangal,17.9756,79.6011
21,66,Sid07 Designs,Inventions,RnD,Jammu,Jammu n Kashmir,25,2500000,22,75.00%,0,0,0,0,1,0,0,1,2500000,75%,"33,33,333",,32.7333,74.85,1200,Salem,11.65,78.1667
21,67,The Quirky Nari,Customised Apparels,Fashion,Mathura,Uttar Pradesh,35,3500000,0,24.00%,1,0,0,0,0,1,0,2,1750000,12%,"1,45,83,333",,27.4833,77.6833,1200,Malegaon,20.55,74.55
22,68,Hair Originals,Natural Hair Extensions,Cosmetics,gurugram,Haryana,60,6000000,0,4.00%,1,1,0,0,1,0,0,3,2000000,1%,"15,00,00,000",,#N/A,#N/A,900,Kochi,9.9667,76.2833
22,69,Poo de Cologne,Toilet Spray with Essential Oils,Toiletries,Mumbai,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.9667,72.8333,3300,Gorakhpur,26.7611,83.3667
22,70,Moonshine Meads,Meads,,Pune,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.5196,73.8553,,Shimoga,13.9304,75.56
22,71,Falhari,Fresh Fruits,Food and beverages,gurugram,Haryana,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,#N/A,#N/A,,Tirupp?r,11.1075,77.3398
23,72,Namhya Foods,Ayurvedic Enriched Food,Food and beverages,Gandhinagar,Jammu n Kashmir,50,5000000,50,10.00%,0,0,0,1,0,0,0,1,5000000,10%,"5,00,00,000",,#N/A,#N/A,,Gunt?r,16.3,80.45
23,73,Urban Monkey,Streetwear,Fashion,Mumbai,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.9667,72.8333,,Raurkela,22.2492,84.8828
23,74,Guardian Gears,Motorcycle Luggage,Automotive,Secunderabad,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,17.45,78.5,,Mangalore,12.8703,74.8806
23,75,Modern Myth,Bags,Fashion,New delhi,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,28.7,77.2,,Nanded,19.15,77.3333
24,76,The Sass Bar,Gifts,,Bangalore,Maharashtra,50,5000000,0,35.00%,1,0,0,0,0,0,1,2,2500000,18%,"1,42,85,714",,12.9699,77.598,,Cuttack,20.45,85.8667
24,77,KG Agrotech,Agricultural Innovations,Agricuture,Latur,Maharashtra,10,1000000,20,40.00%,0,0,0,0,1,0,0,1,1000000,40%,"25,00,000",,#N/A,#N/A,,Chanda,19.95,79.3
24,78,Nuskha Kitchen,Homemade Foods,Food and beverages,Jaipur,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,26.9167,75.8667,,Dehra D?n,30.318,78.029
25,79,PawsIndia,Dog Products,Food and beverages,mumbai,Maharashtra,50,5000000,0,15.00%,1,0,0,0,0,0,0,1,5000000,15%,"3,33,33,333",,18.9667,72.8333,,Durgapur,23.55,87.32
25,80,Sunfox Technologies,Portable ECG Device,Healthcare,Dehra D?n,Uttarakhand,10,1000000,0,6.00%,1,0,1,0,1,1,1,5,200000,1%,"1,66,66,667",,30.318,78.029,,asansol,23.6833,86.9667
25,81,Alpino,Roasted Peanut Products,Food and beverages,S?rat,Gujrat,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,21.17,72.83,,Bhavnagar,21.765,72.1369
26,82,Isak Fragrances,Perfumes,Cosmetics,Lucknow,Uttar Pradesh,50,5000000,0,50.00%,0,0,0,0,1,0,0,1,5000000,50%,"1,00,00,000",,26.847,80.947,,Amravati,20.9333,77.75
26,83,Julaa Automation,Automatic Cradle,Electronics,Ahmedabad,Gujrat,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,23.03,72.58,,Nellore,14.4333,79.9667
26,84,Rare Planet,Handicrafts,Handicrafts,Pune,Maharashtra,65,6500000,0,30.00%,0,0,1,0,0,0,0,1,6500000,30%,"2,16,66,667",,18.5196,73.8553,,Ajmer,26.468,74.639
27,85,Theka Coffee,Coffee Products,Food and beverages,Mumbai,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.9667,72.8333,,Tinnevelly,8.7289,77.7081
27,86,Watt Technovations,Ventilated PPE Kits,Saafety,Pune,Maharashtra,10,1000000,0,4.00%,1,0,1,0,1,0,1,4,250000,1%,"2,50,00,000",,18.5196,73.8553,,B?kaner,28.0181,73.3169
27,87,Aliste Technologies,Automation Solutions,Electronics,Noida,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,#N/A,#N/A,,Agartala,23.8333,91.2667
27,88,Insurance Samadhan,Insurance Solutions,Insurance,Noida,Uttar Pradesh,10,1000000,0,4.00%,0,0,0,0,1,0,0,1,1000000,4%,"2,50,00,000",,#N/A,#N/A,,Ujjain,23.1828,75.7772
28,89,Humpy A2,Organic Milk Products,Food and beverages,Pune,Maharashtra,10,1000000,0,15.00%,0,0,0,0,1,1,1,3,333333.3333,5%,"66,66,667",,18.5196,73.8553,,Jhansi,25.4486,78.5696
28,90,Kunafa World,Kunafa,Food and beverages,Bangalore,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,12.9699,77.598,,Ulhasnagar,19.2167,73.15
28,91,Gold Safe Solutions Ind.,Anti-Suicidal Fan Rod,Safety,Mumbai,Maharashtra,50,5000000,0,30.00%,0,0,0,0,1,1,1,3,1666666.667,10%,"1,66,66,667",,18.9667,72.8333,,Davangere,14.4667,75.9167
29,92,Wakao Foods,Jackfruit Products,Food and beverages,Panaji,Goa,75,7500000,0,21.00%,0,0,1,0,0,1,1,3,2500000,7%,"3,57,14,286",,15.48,73.83,,Jammu,32.7333,74.85
29,93,PDD Falcon,Stainless Steel Items,Metal,Mumbai,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.9667,72.8333,,Belgaum,15.8667,74.5
29,94,PlayBox TV,Streaming Platform,Electronics,Mumbai,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.9667,72.8333,,Gulbarga,17.3333,76.8333
30,95,Sippline Drinking Shields,Portable Glass Attachment,,Delhi,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,28.66,77.23,,Jamnagar,22.47,70.07
30,96,Kabaddi Adda,All-Kabaddi App,sports,Bangalore,Karnataka,80,8000000,0,6.00%,0,0,1,0,0,1,0,2,4000000,3%,"13,33,33,333",,12.9699,77.598,,Dh?lia,20.9,74.7833
30,97,Shades of Spring,Flowers,gifts and decor,Mumbai,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.9667,72.8333,,Gaya,24.75,85.0167
30,98,Scholify,Scholarship Platform,SAAS,Bangalore,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,12.9699,77.598,,Jalgaon,21.0167,75.5667
31,99,Scrapshala,Handmade Reusable Scrap Materials,Recylcing,Varanasi,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,25.3189,83.0128,,Kurnool,15.8222,78.035
31,100,Sabjikothi,Vegetables Storage,Electronics,Kanpur,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,#N/A,#N/A,,Udaipur,24.5833,73.6833
31,101,AyuRythm,Ayurvedic Wellness App,Healthcare,Bangalore,Karnataka,75,7500000,0,2.68%,0,0,0,1,0,0,0,1,7500000,3%,"27,98,50,746",,12.9699,77.598,,Bellary,15.15,76.915
31,102,Astrix,Smart Locks,Automotive,Coimbatore,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,11,76.9667,,Sangli,16.8667,74.5667
32,103,Thea and Sid,Proposal Solutions,Fashion,Mumbai,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.9667,72.8333,,Tuticorin,8.7833,78.1333
32,104,Experential Etc,Technology layered Advertisement Services,entertaiment,Mumbai,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.9667,72.8333,,Calicut,11.25,75.7667
32,105,GrowFitter,Rewards App,Healthcare,Mumbai,Maharashtra,50,5000000,0,2.00%,0,0,0,1,0,0,0,1,5000000,2%,"25,00,00,000",,18.9667,72.8333,,Akola,20.7333,77
32,106,Med Tech,Portable opthalmic devices,Healthcare,Chennai,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,13.0825,80.275,,Bhagalpur,25.25,87.0167
33,107,Colour Me Mad,Insoles,Shoes,Mumbai,Maharashtra,40,4000000,0,25.00%,0,0,1,0,0,0,0,1,4000000,25%,"1,60,00,000",,18.9667,72.8333,,S?kar,27.6119,75.1397
33,108,Mavi's,Vegan Fermented Food,Food and beverages,Thane,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,19.18,72.9633,,Tumk?r,13.33,77.1
33,109,Tweek Labs,Sportswear,Sports,Hubli,Karnataka,60,6000000,0,10.00%,1,1,0,0,1,0,0,3,2000000,3%,"6,00,00,000",,15.36,75.125,,Quilon,8.8853,76.5864
33,110,Proxgy,VR,entertaiment,gurugram,Haryana,10,1000000,0,10.00%,0,1,0,0,1,0,0,2,500000,5%,"1,00,00,000",,#N/A,#N/A,,Muzaffarnagar,29.4708,77.7033
34,111,Nomad Food Project,Bacon Jams,Food and beverages,Pune,Maharashtra,40,4000000,0,20.00%,0,1,1,0,0,1,1,4,1000000,5%,"2,00,00,000",,18.5196,73.8553,,Bh?lwara,25.35,74.6333
34,112,Twee in One,Reversible and convertible clothing,Fashion,Mumbai,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.9667,72.8333,,Nizamabad,18.6704,78.1
34,113,Green Protein,Plant-Based Protein,Food and beverages,Mumbai,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.9667,72.8333,,Bhatpara,22.8667,88.4167
34,114,On2Cook,Fastest Cooking Device,Electronics,Ahmedabad,Gujrat,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,23.03,72.58,,Kakinada,16.9333,82.2167
35,115,Jain Shikanji,Lemonade,Food and beverages,Madinagar,Uttar Pradesh,40,4000000,0,30.00%,1,1,0,1,0,1,0,4,1000000,8%,"1,33,33,333",,#N/A,#N/A,,Parbhani,19.2704,76.76
35,116,Woloo,Washroom Finder,SAAS,Mumbai,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.9667,72.8333,,Panihati,22.69,88.37
35,117,Elcare India,Carenting for Elders,SAAS,Gurugram,Haryana,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,#N/A,#N/A,,Lat?r,18.4004,76.57
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Rohtak,28.9,76.5667
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Rajapalaiyam,9.4204,77.58
,,,,,,,,117,,,,,,,,,,,#DIV/0!,,,,,,,Ahmadnagar,19.0833,74.7333
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Cuddapah,14.4667,78.8167
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Rajahmundry,16.9833,81.7833
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Alwar,27.5667,76.6167
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Muzaffarpur,26.12,85.3833
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bilaspur,22.15,82.0167
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Mathura,27.4833,77.6833
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kamarhati,22.67,88.37
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Patiala,30.3204,76.385
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Saugor,23.8504,78.75
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bijapur,16.8244,75.7154
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Brahmapur,19.32,84.8
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Shahjanpur,27.8804,79.905
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Trich?r,10.52,76.21
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Barddhaman,23.25,87.85
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kulti,23.73,86.85
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Sambalpur,21.4704,83.9701
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Purnea,25.78,87.47
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Hisar,29.1489,75.7367
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,F?rozabad,27.15,78.3949
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,B?dar,17.9229,77.5175
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Rampur,28.8154,79.025
